Billing_Month,Metric,Value,Source_Page
2024-01-01,Bilateral_Quantity_GWh,6814.0,1
2024-01-01,Daily_Average_MQ_GWh,273.0,1
2024-01-01,ESSP_PHP_per_kWh,4.9,1
2024-01-01,Metered_Quantity_GWh,8449.0,1
2024-01-01,Spot_Quantity_GWh,1636.0,1
2024-01-01,Trading_Amount_Billion_PHP,14.44,1
2024-02-01,Bilateral_Quantity_GWh,6930.0,2
2024-02-01,Daily_Average_MQ_GWh,284.0,2
2024-02-01,ESSP_PHP_per_kWh,4.3,2
2024-02-01,Metered_Quantity_GWh,8514.0,2
2024-02-01,Spot_Quantity_GWh,1584.0,2
2024-02-01,Trading_Amount_Billion_PHP,12.41,2
2024-03-01,Bilateral_Quantity_GWh,6773.0,4
2024-03-01,Daily_Average_MQ_GWh,293.0,4
2024-03-01,ESSP_PHP_per_kWh,5.72,4
2024-03-01,Metered_Quantity_GWh,8498.0,4
2024-03-01,Spot_Quantity_GWh,1726.0,4
2024-03-01,Trading_Amount_Billion_PHP,17.03,4
2024-04-01,Bilateral_Quantity_GWh,7530.0,5
2024-04-01,Daily_Average_MQ_GWh,320.0,5
2024-04-01,ESSP_PHP_per_kWh,7.56,5
2024-04-01,Metered_Quantity_GWh,9925.0,5
2024-04-01,Spot_Quantity_GWh,2396.0,5
2024-04-01,Trading_Amount_Billion_PHP,28.05,5
2024-05-01,Bilateral_Quantity_GWh,7807.0,6
2024-05-01,Daily_Average_MQ_GWh,350.0,6
2024-05-01,ESSP_PHP_per_kWh,8.65,6
2024-05-01,Metered_Quantity_GWh,10489.0,6
2024-05-01,Spot_Quantity_GWh,2682.0,6
2024-05-01,Trading_Amount_Billion_PHP,34.71,6
2024-06-01,Bilateral_Quantity_GWh,7701.0,7
2024-06-01,Daily_Average_MQ_GWh,327.0,7
2024-06-01,ESSP_PHP_per_kWh,6.58,7
2024-06-01,Metered_Quantity_GWh,10125.0,7
2024-06-01,Spot_Quantity_GWh,2424.0,7
2024-06-01,Trading_Amount_Billion_PHP,25.88,7
2024-07-01,Bilateral_Quantity_GWh,7410.0,8
2024-07-01,Daily_Average_MQ_GWh,311.0,8
2024-07-01,ESSP_PHP_per_kWh,6.18,8
2024-07-01,Metered_Quantity_GWh,9337.0,8
2024-07-01,Spot_Quantity_GWh,1926.0,8
2024-07-01,Trading_Amount_Billion_PHP,20.21,8
2024-08-01,Bilateral_Quantity_GWh,7668.0,9
2024-08-01,Daily_Average_MQ_GWh,327.0,9
2024-08-01,ESSP_PHP_per_kWh,6.16,9
2024-08-01,Metered_Quantity_GWh,9808.0,9
2024-08-01,Spot_Quantity_GWh,2140.0,9
2024-08-01,Trading_Amount_Billion_PHP,21.69,9
2024-09-01,Bilateral_Quantity_GWh,7471.0,10
2024-09-01,Daily_Average_MQ_GWh,305.0,10
2024-09-01,ESSP_PHP_per_kWh,4.12,10
2024-09-01,Metered_Quantity_GWh,9451.0,10
2024-09-01,Spot_Quantity_GWh,1980.0,10
2024-09-01,Trading_Amount_Billion_PHP,12.92,10
2024-10-01,Bilateral_Quantity_GWh,7205.0,11
2024-10-01,Daily_Average_MQ_GWh,312.0,11
2024-10-01,ESSP_PHP_per_kWh,4.72,11
2024-10-01,Metered_Quantity_GWh,9363.0,11
2024-10-01,Spot_Quantity_GWh,2158.0,11
2024-10-01,Trading_Amount_Billion_PHP,16.16,11
2024-11-01,Bilateral_Quantity_GWh,7227.0,12
2024-11-01,Daily_Average_MQ_GWh,305.0,12
2024-11-01,ESSP_PHP_per_kWh,4.54,12
2024-11-01,Metered_Quantity_GWh,9451.0,12
2024-11-01,Spot_Quantity_GWh,2224.0,12
2024-11-01,Trading_Amount_Billion_PHP,16.18,12
2024-12-01,Bilateral_Quantity_GWh,6824.0,12
2024-12-01,Daily_Average_MQ_GWh,296.0,12
2024-12-01,ESSP_PHP_per_kWh,3.58,12
2024-12-01,Metered_Quantity_GWh,8878.0,12
2024-12-01,Spot_Quantity_GWh,2054.0,12
2024-12-01,Trading_Amount_Billion_PHP,12.81,12
2025-01-01,Bilateral_Quantity_GWh,6805.0,12
2025-01-01,Daily_Average_MQ_GWh,279.0,12
2025-01-01,ESSP_PHP_per_kWh,3.11,12
2025-01-01,Metered_Quantity_GWh,8651.0,12
2025-01-01,Spot_Quantity_GWh,1846.0,12
2025-01-01,Trading_Amount_Billion_PHP,9.93,12
2025-02-01,Bilateral_Quantity_GWh,7157.0,12
2025-02-01,Daily_Average_MQ_GWh,288.0,12
2025-02-01,ESSP_PHP_per_kWh,2.81,12
2025-02-01,Metered_Quantity_GWh,8941.0,12
2025-02-01,Spot_Quantity_GWh,1784.0,12
2025-02-01,Trading_Amount_Billion_PHP,8.78,12
2025-03-01,Bilateral_Quantity_GWh,6825.0,12
2025-03-01,Daily_Average_MQ_GWh,306.0,12
2025-03-01,ESSP_PHP_per_kWh,5.9,12
2025-03-01,Metered_Quantity_GWh,8571.0,12
2025-03-01,Spot_Quantity_GWh,1746.0,12
2025-03-01,Trading_Amount_Billion_PHP,17.06,12
2025-04-01,Bilateral_Quantity_GWh,7922.0,12
2025-04-01,Daily_Average_MQ_GWh,330.0,12
2025-04-01,ESSP_PHP_per_kWh,4.82,12
2025-04-01,Metered_Quantity_GWh,10215.0,12
2025-04-01,Spot_Quantity_GWh,2293.0,12
2025-04-01,Trading_Amount_Billion_PHP,17.18,12
2025-05-01,Bilateral_Quantity_GWh,8254.0,12
2025-05-01,Daily_Average_MQ_GWh,341.0,12
2025-05-01,ESSP_PHP_per_kWh,4.13,12
2025-05-01,Metered_Quantity_GWh,10236.0,12
2025-05-01,Spot_Quantity_GWh,1981.0,12
2025-05-01,Trading_Amount_Billion_PHP,13.55,12
2025-06-01,Bilateral_Quantity_GWh,8274.0,12
2025-06-01,Daily_Average_MQ_GWh,328.0,12
2025-06-01,ESSP_PHP_per_kWh,4.05,12
2025-06-01,Metered_Quantity_GWh,10161.0,12
2025-06-01,Spot_Quantity_GWh,1887.0,12
2025-06-01,Trading_Amount_Billion_PHP,12.5,12
2025-07-01,Bilateral_Quantity_GWh,8012.0,12
2025-07-01,Daily_Average_MQ_GWh,311.0,12
2025-07-01,ESSP_PHP_per_kWh,4.17,12
2025-07-01,Metered_Quantity_GWh,9343.0,12
2025-07-01,Spot_Quantity_GWh,1331.0,12
2025-07-01,Trading_Amount_Billion_PHP,10.72,12
2025-08-01,Bilateral_Quantity_GWh,8304.0,12
2025-08-01,Daily_Average_MQ_GWh,317.0,12
2025-08-01,ESSP_PHP_per_kWh,5.56,12
2025-08-01,Metered_Quantity_GWh,9823.0,12
2025-08-01,Spot_Quantity_GWh,1519.0,12
2025-08-01,Trading_Amount_Billion_PHP,15.32,12
2025-09-01,Bilateral_Quantity_GWh,8236.0,12
2025-09-01,Daily_Average_MQ_GWh,308.0,12
2025-09-01,ESSP_PHP_per_kWh,3.28,12
2025-09-01,Metered_Quantity_GWh,9543.0,12
2025-09-01,Spot_Quantity_GWh,1307.0,12
2025-09-01,Trading_Amount_Billion_PHP,8.84,12
2025-10-01,Bilateral_Quantity_GWh,8140.0,12
2025-10-01,Daily_Average_MQ_GWh,313.0,12
2025-10-01,ESSP_PHP_per_kWh,5.12,12
2025-10-01,Metered_Quantity_GWh,9405.0,12
2025-10-01,Spot_Quantity_GWh,1265.0,12
2025-10-01,Trading_Amount_Billion_PHP,14.09,12
2025-11-01,Bilateral_Quantity_GWh,8292.0,12
2025-11-01,Daily_Average_MQ_GWh,305.0,12
2025-11-01,ESSP_PHP_per_kWh,4.57,12
2025-11-01,Metered_Quantity_GWh,9451.0,12
2025-11-01,Spot_Quantity_GWh,1159.0,12
2025-11-01,Trading_Amount_Billion_PHP,13.13,12
2025-12-01,Bilateral_Quantity_GWh,7926.0,12
2025-12-01,Daily_Average_MQ_GWh,305.0,12
2025-12-01,ESSP_PHP_per_kWh,5.52,12
2025-12-01,Metered_Quantity_GWh,9141.0,12
2025-12-01,Spot_Quantity_GWh,1214.0,12
2025-12-01,Trading_Amount_Billion_PHP,14.2,12
